no_sequentiel	no_trame	ordre_dans_trame	nom_trame
371	97	10	Les chiffres et les nombres
372	26	3	Le film
373	39	11	Freud par la bande
374	26	4	Le film
375	34	9	Lacan
376	27	1	Voiture neuve
377	45	4	Détails inutiles
378	133	2	L’avenir
379	21	3	Détails plus ou moins utiles
380	107	1	Nécessités
381	58	2	Prolongements
382	26	5	Le film
383	56	1	Pèlerinages
384	92	3	Questions sans réponse
385	7	4	Détails utiles
386	26	6	Le film
387	72	12	Équations
388	25	5	Meurtre
389	96	2	Personnages
390	9	3	Le potager
391	97	11	Les chiffres et les nombres
392	26	7	Le film
393	48	3	Inférences
394	26	8	Le film
395	97	12	Les chiffres et les nombres
396	27	2	Voiture neuve
397	48	4	Inférences
398	30	5	Chiac
399	57	10	Photocopies
400	27	3	Voiture neuve
401	34	7	Lacan
402	92	1	Questions sans réponse
403	48	5	Inférences
404	27	4	Voiture neuve
405	76	6	Avatars
406	142	10	Notes
407	54	7	Oubli/rappel
408	9	2	Le potager
409	48	6	Inférences
410	9	4	Le potager
411	48	7	Inférences
412	27	5	Voiture neuve
413	7	3	Détails utiles
414	143	5	Varia
415	39	12	Freud par la bande
416	27	6	Voiture neuve
417	34	11	Lacan
418	31	3	Questions avec réponse
419	105	7	Réserves
420	27	8	Voiture neuve
421	120	6	Fictionnaire
422	27	9	Voiture neuve
423	48	8	Inférences
424	26	9	Le film
425	34	12	Lacan
426	109	8	Rêves
427	35	1	Le détail dans le détail
428	27	10	Voiture neuve
429	78	4	Accidents
430	27	11	Voiture neuve
431	33	9	Chiac détail
432	27	12	Voiture neuve
433	144	4	Exergues
434	26	10	Le film
435	48	9	Inférences
436	28	1	Une vie de couple
437	76	2	Avatars
438	26	11	Le film
439	66	1	Les vertus
440	28	2	Une vie de couple
441	48	10	Inférences
442	28	3	Une vie de couple
443	66	2	Les vertus
444	27	7	Voiture neuve
445	61	1	Sciences humaines
446	28	4	Une vie de couple
447	1	10	Chansons
448	18	1	Une place pour le monde
449	61	2	Sciences humaines
450	16	1	L’Infirme
451	66	3	Les vertus
452	18	2	Une place pour le monde
453	48	11	Inférences
454	28	5	Une vie de couple
455	61	3	Sciences humaines
456	16	2	L’Infirme
457	66	4	Les vertus
458	22	11	Dialogues en vrac
459	66	9	Les vertus
460	26	12	Le film
461	61	4	Sciences humaines
